"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)",36,0.771812535091429,3.22932140981567,1.1954465641088e-15,2.42675652514087e-13,1.90013085453083e-13,277,"tags=78%, list=14%, signal=68%","14161/20702/20701/99571/110135/14962/12266/22370/56373/12258/11905/18815/16644/14058/12268/12260/14061/12630/12628/12273/230558/12259/12269/18788/16409/12262/15139/50909"
"mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)",34,-0.618695744382791,-3.1213379217444,1.56451606772776e-09,1.58798380874368e-07,1.24337855908891e-07,194,"tags=62%, list=9%, signal=57%","100504404/14961/12501/12525/15001/12481/14960/14969/12483/15000/12500/12478/12507/13136/12902/12482/12502/12526/16197/15002/14128"
"mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)",55,0.535396814690096,2.49547974605616,3.82782582670602e-07,2.59016214273774e-05,2.02807613976354e-05,416,"tags=53%, list=20%, signal=43%","14161/99571/110135/14962/12266/15945/12268/21898/246728/12260/14061/26415/71586/12273/230558/17857/12259/246727/12262/15139/20846/24088/50909/12362/14131/16476/20344/19106/13058"
"mmu05133","Pertussis - Mus musculus (house mouse)",28,0.634333642183606,2.45683724319999,1.66129822140899e-06,8.43108847365065e-05,6.60147451138837e-05,541,"tags=79%, list=26%, signal=59%","12266/12258/12475/75600/12268/21898/12260/26415/12259/12269/16409/12262/15139/50909/12362/16476/17087/16362/117149/107607/17874/12369"
"mmu05340","Primary immunodeficiency - Mus musculus (house mouse)",18,-0.663563642151032,-2.6935926879745,2.18054011352525e-06,8.85299286091251e-05,6.93182225562763e-05,137,"tags=56%, list=7%, signal=52%","12501/12525/16818/17060/72049/12500/12478/12518/12526/16197"
"mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",44,0.541196495093469,2.37890178045451,5.10323892957717e-06,0.000158282001538807,0.00012393353503946,525,"tags=70%, list=26%, signal=54%","14468/14469/20310/21898/246728/229900/26415/12363/54123/59027/55932/15944/14825/15951/54396/246727/20846/12362/12796/16173/22166/16476/13058/54483/330122/15976/17948/20847/18795/107607/17874"
"mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)",41,0.544520584114608,2.33497093532523,5.4580000530623e-06,0.000158282001538807,0.00012393353503946,334,"tags=46%, list=16%, signal=40%","14161/99571/110135/12266/14289/14293/14129/246256/21898/18602/26415/12363/12273/16409/15139/24088/12362/12796/14131"
"mmu04659","Th17 cell differentiation - Mus musculus (house mouse)",36,-0.476999303794213,-2.41829700566427,1.0099947625513e-05,0.000256286170997392,0.000200670012033218,297,"tags=50%, list=15%, signal=44%","16150/16797/16364/18803/21813/50931/100504404/14961/12501/15001/16818/14960/12503/14969/15000/12500/12502/15002"
"mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",32,0.582707134159346,2.36449618509177,1.62647701675588e-05,0.000366860927112716,0.000287249157345191,334,"tags=62%, list=16%, signal=53%","99571/14962/12266/14289/14293/18815/14129/246256/12268/12260/12630/12628/12273/12259/16409/12262/15139/50909/12796/14131"
"mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)",18,-0.624502159499155,-2.53503107101871,1.81086858477925e-05,0.000367606322710188,0.000287832796107018,495,"tags=78%, list=24%, signal=60%","54167/50723/57916/12769/12487/12767/100504404/14961/15001/14960/72049/14969/15000/15002"
"mmu05416","Viral myocarditis - Mus musculus (house mouse)",16,-0.642100880552337,-2.48205129590463,2.22451945722493e-05,0.000410524954378782,0.000321437739752119,214,"tags=56%, list=10%, signal=51%","12487/100504404/14961/15001/14960/14969/15000/13136/15002"
"mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)",13,-0.679955205515852,-2.42091529152765,2.95720855100617e-05,0.000486163957613026,0.000380662471348545,214,"tags=62%, list=10%, signal=55%","12487/100504404/14961/15001/14960/14969/15000/15002"
"mmu04514","Cell adhesion molecules - Mus musculus (house mouse)",28,-0.511499408287491,-2.41911916712883,3.1133652457977e-05,0.000486163957613026,0.000380662471348545,214,"tags=46%, list=10%, signal=42%","12487/100504404/14961/12511/12525/15001/12481/14960/14969/12483/15000/12526/15002"
"mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)",47,-0.394817816840849,-2.20869630924268,8.64941423945371e-05,0.00125416506472079,0.000982001165531963,194,"tags=36%, list=9%, signal=34%","100504404/12043/14961/12501/15001/17060/14960/12503/14969/15000/12500/12478/107986/12902/12502/15002/14128"
"mmu05332","Graft-versus-host disease - Mus musculus (house mouse)",14,-0.654524512061664,-2.4232511047066,0.000119066221460563,0.00142179076214672,0.00111325073935263,214,"tags=57%, list=10%, signal=52%","12487/100504404/14961/15001/14960/14969/15000/15002"
"mmu04658","Th1 and Th2 cell differentiation - Mus musculus (house mouse)",30,-0.475741801853545,-2.30411633174642,0.000117524467511628,0.00142179076214672,0.00111325073935263,297,"tags=50%, list=15%, signal=43%","16150/16797/18803/100504404/14961/12501/15001/16818/14960/12503/14969/15000/12500/12502/15002"
"mmu05310","Asthma - Mus musculus (house mouse)",11,-0.688890261769962,-2.29491284056199,0.000113049455021037,0.00142179076214672,0.00111325073935263,194,"tags=64%, list=9%, signal=58%","100504404/14961/15001/14960/14969/15000/15002"
"mmu03320","PPAR signaling pathway - Mus musculus (house mouse)",16,0.661234794062056,2.17884403610874,0.000172963217345393,0.00195064072895082,0.00152733601281604,490,"tags=81%, list=24%, signal=62%","11806/14080/11807/11814/11520/12140/26458/13167/16592/14933/16956/74551/22259"
"mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)",17,0.638679083710262,2.13578861568037,0.000212550520959571,0.00227093451341015,0.00177812347173935,434,"tags=71%, list=21%, signal=56%","16819/15945/20310/17395/12608/26415/14825/20202/16476/20201/15978/330122"
"mmu05330","Allograft rejection - Mus musculus (house mouse)",15,-0.594804872193858,-2.25599169555206,0.000307092009441129,0.00311698389582746,0.00244057333819002,214,"tags=53%, list=10%, signal=48%","12487/100504404/14961/15001/14960/14969/15000/15002"
"mmu04612","Antigen processing and presentation - Mus musculus (house mouse)",20,-0.535144379843558,-2.24678075036666,0.000364378286431676,0.00347783213115849,0.00272311460619617,194,"tags=50%, list=9%, signal=46%","100504404/14961/16149/12525/15001/14960/14969/15000/12526/15002"
"mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)",15,-0.590388735690909,-2.23924205589237,0.000377282544144908,0.00347783213115849,0.00272311460619617,214,"tags=53%, list=10%, signal=48%","12487/100504404/14961/15001/14960/14969/15000/15002"
"mmu04660","T cell receptor signaling pathway - Mus musculus (house mouse)",32,-0.437610857425443,-2.16974873472023,0.000394040093678055,0.00347783213115849,0.00272311460619617,297,"tags=44%, list=15%, signal=38%","16150/16797/18803/12487/19419/108723/12501/12525/16818/12503/16428/12500/12502/12526"
"mmu05146","Amoebiasis - Mus musculus (house mouse)",23,0.564056921569005,2.0834899643815,0.000498286197345201,0.00421467075254483,0.00330005332452304,505,"tags=65%, list=25%, signal=50%","11846/12475/16178/20310/21898/230558/14825/16409/11847/24088/15978/20723/330122/14268/18795"
"mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)",25,-0.478954871784255,-2.14867287794547,0.000529559188948511,0.00430002061426191,0.00336688158026211,147,"tags=40%, list=7%, signal=38%","108723/12143/17060/242248/12483/12478/12517/12902/12518/15985"
