"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415677_at","Dhrs1","52585","dehydrogenase/reductase 1",0.781631693799474,8.05595813272686,4.64852911372508,0.000138201015639216,0.000244206798989745,0.474995798336118
"2","1415682_at","Xpo7","65246","exportin 7",-1.30521159156506,10.2533886188336,-4.41561365509451,0.000240868564716943,0.000398786435359984,-0.0783939445664901
"3","1415703_at","Huwe1","59026","HECT, UBA and WWE domain containing 1",-0.647959318329469,8.24386096025192,-4.78147362977624,0.000100747113713387,0.00018455285231218,0.790649277100782
"4","1415758_at","Fryl","72313","FRY like transcription coactivator",-0.766036992595193,8.67323889753902,-6.63936541850857,1.42956963599857e-06,5.10062476398095e-06,5.07489786027425
"5","1415775_at","Rbbp7","245688","retinoblastoma binding protein 7, chromatin remodeling factor",-0.708970145113092,8.57146201338414,-3.86914203404882,0.000888847337879086,0.00127834223874745,-1.37044106592945
"6","1415794_a_at","Spin1","20729","spindlin 1",-0.594040866835583,7.87072157603539,-3.35497231159116,0.00300059212265929,0.00397748392699432,-2.55951870732442
"7","1415802_at","Slc16a1","20501","solute carrier family 16 (monocarboxylic acid transporters), member 1",0.556498540301725,9.86934773594111,1.27055617691004,0.217792287015346,0.235874459972199,-6.44044875885893
"8","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",-0.323140218688112,6.95285632797563,-1.11301562822731,0.278288983022543,0.298552036265149,-6.62366407826302
"9","1415837_at","Klk1","16612","kallikrein 1",-0.13722591290918,5.22073517777245,-0.303014594551159,0.764862122829831,0.782045745160007,-7.20319482186201
"10","1415839_a_at","Npm1","18148","nucleophosmin 1",-0.736650354355191,9.00956519110117,-3.05887344639126,0.00596428800752004,0.00758216129075173,-3.22198954483129
"11","1415840_at","Elovl5","68801","ELOVL fatty acid elongase 5",-0.563681508147649,9.40803184757392,-3.48487803608831,0.00221145075865261,0.00299540420219612,-2.26296000293598
"12","1415869_a_at","Trim28","21849","tripartite motif-containing 28",-1.07044699150462,8.9165854757724,-8.03298491709518,7.74745143151616e-08,5.30661556245656e-07,8.02672604255704
"13","1415871_at","Tgfbi","21810","transforming growth factor, beta induced",1.92848068817242,9.31356944206443,8.04278367242899,7.59725492453326e-08,5.25647908292031e-07,8.0465557046464
"14","1415872_at","Hnrnph1","59013","heterogeneous nuclear ribonucleoprotein H1",-0.940921294723278,8.52298262435349,-4.35107866102435,0.000281025407033791,0.000458925260073389,-0.231647395405015
"15","1415897_a_at","Mgst1","56615","microsomal glutathione S-transferase 1",1.85774692013687,10.5770219977746,4.87839752201324,8.00591066854195e-05,0.000150838132927083,1.02049660704937
"16","1415904_at","Lpl","16956","lipoprotein lipase",0.858352830104116,7.49878141554687,2.90474036248043,0.00847717765347163,0.0105475454643438,-3.55778298435661
"17","1415936_at","Bcar3","29815","breast cancer anti-estrogen resistance 3",-1.68466973072749,7.74170025792424,-7.14877014162258,4.77940487172674e-07,2.15599585403004e-06,6.18379797306118
"18","1415964_at","Scd1","20249","stearoyl-Coenzyme A desaturase 1",-2.10155934927312,9.62919814819874,-8.53486612369408,2.88929655482464e-08,2.34812672392098e-07,9.02564473713317
"19","1415994_at","Cyp2e1","13106","cytochrome P450, family 2, subfamily e, polypeptide 1",-0.599840750016723,6.99642813392292,-0.608161774317603,0.549606348120167,0.575162902887125,-7.0598498756831
"20","1415996_at","Txnip","56338","thioredoxin interacting protein",0.0392713864242928,9.91818307675078,0.134686689852528,0.894143038535162,0.903852390385,-7.24149770768158
"21","1416008_at","Satb1","20230","special AT-rich sequence binding protein 1",-1.42598577790699,9.43418537219564,-4.15159590467768,0.000452756692440022,0.000704594001608788,-0.704591505729957
"22","1416021_a_at","Fabp5","16592","fatty acid binding protein 5, epidermal",2.23752896722733,7.31316183777343,7.17725647113136,4.49993101847419e-07,2.06171336148437e-06,6.24480913500804
"23","1416025_at","Fgg","99571","fibrinogen gamma chain",1.95651026626959,7.25889397145211,1.33470549352828,0.196274031436887,0.213020252455085,-6.3598881572775
"24","1416065_a_at","Ankrd10","102334","ankyrin repeat domain 10",-1.77050282086359,8.09456223325801,-9.63661543430209,3.71413334398752e-09,5.20996238937427e-08,11.1009107634919
"25","1416082_at","Rab1a","19324","RAB1A, member RAS oncogene family",1.08979011066419,10.4590022149051,7.56206141364052,2.01533163685201e-07,1.11522077760862e-06,7.05834740989769
"26","1416106_at","Kti12","100087","KTI12 homolog, chromatin associated",-0.564085410263113,7.14283108583527,-3.1245866760224,0.00512704767764261,0.00660805138062434,-3.07680220692767
"27","1416107_at","Nsg2","18197","neuron specific gene family member 2",-2.05090603057302,8.23321812684524,-9.1153372523784,9.61861556950588e-09,9.99945415550662e-08,10.1388426529638
"28","1416111_at","Cd83","12522","CD83 antigen",-2.31559277725953,7.3631858408491,-13.7826228883386,5.49683969622707e-12,9.05399721528963e-10,17.6375151861697
"29","1416119_at","Txn1","22166","thioredoxin 1",1.67998136451442,11.2022456639106,7.82114846464889,1.18666008247325e-07,7.43204846760003e-07,7.59484443926823
